Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
AFMSCSLADS-7877,SUMMARY REDACTED,Open,AFMS_CSL_ADS,50,50,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,,1
CSLCND-54885,SUMMARY REDACTED,Open,CSL_CND,15,,,CSL_R8_InCapacity,IRAD,2665,Product,1
CSLCND-54887,SUMMARY REDACTED,Open,CSL_CND,15,15,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,Team,2
CSLP9ON8-564,SUMMARY REDACTED,Open,CSLP_9on8,,0,,CSL_R8,9o8,2660,,0
CSLSPY-93861,SUMMARY REDACTED,Open,CSL_SPY,8.6,15,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLSPY-95983,SUMMARY REDACTED,Open,CSL_SPY,5,5,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLSPY-96607,SUMMARY REDACTED,Open,CSL_SPY,3.5,3.5,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLSPY-96718,SUMMARY REDACTED,Open,CSL_SPY,0.1,0.1,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
ORTS-36920,SUMMARY REDACTED,Open,CSL_ORTS,7,7,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
ORTS-38870,SUMMARY REDACTED,Open,CSL_ORTS,7,7,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLWCS-42821,SUMMARY REDACTED,Open,CSL_WCS,103,15,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLWCS-43882,SUMMARY REDACTED,Reopened,CSL_WCS,21,21,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,1850,Team,2
CSLWCS-43505,SUMMARY REDACTED,Open,CSL_WCS,42,42,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,1762,Team,2
CSLWCS-43668,SUMMARY REDACTED,Open,CSL_WCS,40,40,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,400,Team,2
CSLCND-53692,SUMMARY REDACTED,Open,CSL_CND,0,4,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLCND-54598,SUMMARY REDACTED,Open,CSL_CND,0,0,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLCND-53691,SUMMARY REDACTED,Open,CSL_CND,16,16,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLADS-55489,SUMMARY REDACTED,Open,CSL_ADS,,4.5,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLADS-56417,SUMMARY REDACTED,Open,CSL_ADS,0,0,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLADS-56335,SUMMARY REDACTED,Open,CSL_ADS,4.5,4.5,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLADS-56601,SUMMARY REDACTED,Open,CSL_ADS,,,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLADS-56252,SUMMARY REDACTED,Open,CSL_ADS,0,0,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLACI-40381,SUMMARY REDACTED,Open,CSL_ACI,20,20,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Product,1
CSLACI-40992,SUMMARY REDACTED,Open,CSL_ACI,20,20,,"CSL_R8, CSL_R8_InCapacity",9o8,2660,Team,2
CSLPCSL-130,SUMMARY REDACTED,Open,CSLP_CSL,199.35,0,,CSL_R8,CSL TI,2655,,0
ORTS-36948,SUMMARY REDACTED,Open,CSL_ORTS,59.25,46,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Product,1
ORTS-38354,SUMMARY REDACTED,Open,CSL_ORTS,9,9,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
ORTS-38448,SUMMARY REDACTED,Open,CSL_ORTS,30,30,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
ORTS-38871,SUMMARY REDACTED,Open,CSL_ORTS,6.25,6.25,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
ORTS-38478,SUMMARY REDACTED,Open,CSL_ORTS,14,14,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
